ID,MFACTOR,EFACTOR,A01,A02,A03,A04,A05,A06,A07,A08,A09,A10,A11,A12,B01,B02,B03,B04,B05,B06,B07,B08,B09,B10,B11,B12,C01,C02,C03,C04,C05,C06,C07,C08,C09,C10,C11,C12,STATUS
205,97,B,1.732,1.414,2,1.732,2.236,1.732,1.732,1.732,2,2.236,2,2,3,2.828,1,2.646,2,3,1.732,1.732,2.449,2.646,2.449,2.828,4.243,2,2.236,2,2.236,6.083,2,1.414,1.414,2.449,1.732,1.414,2
206,22,B,2.828,2.236,2,3.606,1.414,2.646,2.646,1,3,1.732,2.449,3.317,1.732,3,2.236,2.236,2.449,1.414,2.449,3.162,1,3,1.414,2.449,1.414,2,2,2,1.732,2,2,1.732,2,1.414,1.732,1.414,2
207,22,B,4.123,4,4.359,4.243,3.742,3.464,2,2,2.236,2.449,2.236,1.732,1.732,1.414,1.414,1.414,2,1.414,1.414,2,1,1.732,1.414,2,1.732,1.414,1.732,1.414,2,1.414,1.732,1.732,1.732,1.732,1.732,1.414,1
208,22,C,2.449,2.236,2.449,2.646,2.646,2.449,2.646,2.449,2.646,2.646,2.449,1.732,3.162,2.449,2.646,2.449,2.646,2.449,2.828,2.646,2.828,2.646,2.449,2,2.828,2.449,2.646,2.828,2.646,2.828,2.646,2.828,2.449,3,2.646,2.646,0
209,22,B,1.414,1.732,2.646,2.449,1.732,1.732,1.732,2.449,1.732,1.732,1.732,1.732,1.732,1.732,1.732,1.732,1.732,2,2,2,2.236,2.236,3.606,5,4.899,5.477,5.099,4.796,4.796,5,4.69,5,4.899,5.196,4.899,4.472,0
210,22,B,5.099,5.099,5.292,5,5.099,5,5.292,5.099,4.899,5.099,4.69,1,5,5.196,4.899,4.899,5.477,5,5,6.245,5.657,4.796,4.899,4.899,5,5,4.583,4.472,4.472,5,4.583,4.583,4.359,4.69,4.583,4.583,2
211,22,B,4.583,4.123,4.123,4.472,4.472,4.69,4.69,4.69,4.583,4.796,4.796,4.796,4.69,4.796,4.472,4.243,3,2.828,3,2.449,2.449,2.646,2.236,2.449,2.449,2.236,2,2.449,2.449,2.449,2.449,2.449,2.646,2.449,2.449,2.236,2
212,22,C,2.828,3,3.162,2.828,2.828,2.646,2.828,2.646,2.828,2.828,2.828,2.646,3,3,3.162,2.828,3,3.162,3.162,3.464,3.464,3.317,3.162,3.464,3,3.464,3.317,3.317,3.162,3.464,3.317,3.606,3,3,3,2.828,2
213,46,C,6.782,4.899,5.196,4.796,4.899,5.916,5.196,5,5.477,5.385,5.196,4.899,5.196,5.099,4.796,5.099,5.477,4.899,5.196,5,6.164,5.196,5.099,5.831,5.385,5.657,5.099,6.083,5.292,5.099,5.477,6,6.557,6.557,5.745,5.568,0
214,22,B,2.646,3,3.606,3.742,3.606,3.742,3.873,2.828,2.828,3,2.828,2.646,2.646,2.828,2.449,3,3.162,2.236,1.732,1.732,2,2.236,2.236,3.317,3.317,3.317,3.162,3.317,3.317,3.317,2.828,3.317,3,3,3.317,3.162,0
