ID,MFACTOR,EFACTOR,A01,A02,A03,A04,A05,A06,A07,A08,A09,A10,A11,A12,B01,B02,B03,B04,B05,B06,B07,B08,B09,B10,B11,B12,C01,C02,C03,C04,C05,C06,C07,C08,C09,C10,C11,C12,STATUS
1,21,C,4.472,3.162,4,3.162,1.414,2.449,3.606,1.732,2,2.449,2.236,2.646,2.646,2,3.162,3.606,2.646,3.317,2.646,2.646,3.162,2.449,2.449,2,1.732,1.732,1.414,2.236,2,2,2.646,2,1.732,1.732,1.732,1,2
2,22,C,3.317,3,3,3.317,3.162,2.828,3.162,3.162,3,3.317,3.464,3.317,3.606,4.243,4.796,2.646,2.646,1.732,2.236,2.828,2.828,3,2.828,3,2.646,3.742,3,3.317,3.464,3.742,3.464,3,3.317,3,2.828,2.828,2
3,22,C,3.873,4,3.317,3.317,3.606,3.742,4.123,3.317,3,3.317,3.162,3.317,3.162,3.464,3.464,4,3.606,3,2.828,3,3,3.317,3.873,3.742,3.317,4.123,4.243,3.873,4.796,4.583,2.236,3.162,3.464,2.449,2.449,2.449,0
4,22,C,2.236,1.414,2.236,2.236,2.449,1.732,2.236,2.449,2,1.414,2.828,1.732,1.414,2.236,1.732,2.646,2,2.449,2,2,2,2.236,2,2.236,2,2.236,2,2.449,1.732,2,2.236,2.646,2.236,1.414,2,2,1
5,22,B,2,2,2,2,2,2,2,2,2.236,2,2,2.236,2,2,2,2,2.828,2.236,2.236,2.236,2.449,2.449,2.646,2.449,2.449,2.449,2.449,2.236,2.236,2.236,2.236,1.732,2,2.236,2.236,3.317,2
6,22,C,3.317,3,3,3,3.464,3.162,3.742,3,3,3,3.162,3,3.317,3,2.828,3.162,3,3.317,3.742,4,3.464,3.464,2.646,2.236,2.236,2.236,2.449,2.646,2.449,2,2.828,2.646,2,2.828,3.162,2.828,1
7,2,C,2,1.732,2,1.732,1.732,1.732,1,1.414,1.414,2,1.732,1.732,1.732,1.732,2.236,1.414,1.732,2,1.732,1.414,1.732,1.732,3.464,2.236,1,1.732,2,2,2.828,1.732,1.732,1.732,1.414,1.732,1.414,1.414,1
8,22,B,2.646,2.449,3.317,3,3,2,3,2.828,2.646,3,2.828,3,3.162,3,3.162,3.873,3.162,3.162,2.449,2.828,2.646,2.828,3,3,2.828,3,2.828,1.732,3,3,3.162,2.449,2.449,3.162,3.162,2.828,1
9,22,C,3.742,3.606,3,3.742,3.317,3,4,4.69,4.359,4.583,4.69,4.583,5.657,4.472,4.472,4.796,3.464,3.464,3.464,2.449,3.317,2.828,2,2.646,2,2.828,2.236,2.236,2.236,1,2.828,2,2.828,2.236,2,2.236,2
10,22,C,2.236,2.236,2.646,2.828,2.236,2.449,2,2.236,2.449,2,2.236,2,2.236,2.236,2.236,2.236,2.236,2.646,2,2.828,1.732,2,2.449,2,2,2,2,2,2,2,1.732,2,2,2,2.236,2,0
11,22,C,1.732,1.414,1.732,1.732,1.732,1.732,1.732,1.732,1.732,1.732,1.732,1.732,1.732,1.732,1.732,1.732,1.732,1.732,1.732,1.732,1.732,1.732,1.732,1.732,1.732,1.732,1.732,1.732,1.732,1.732,1.732,1.732,1.732,1.732,1.732,1.732,0
12,46,C,2.646,2.828,3.742,3.464,3.317,3.464,4.359,3.464,3.464,3.742,3.464,3.464,3.873,4.899,5,3,3,3.873,2,2.646,2.236,2.828,1.732,2.236,2,2.449,2.236,2.236,2.449,2.449,3,2.828,2.449,2.236,2.646,2.449,1
13,22,C,3.742,4.243,3.742,3.317,3.317,3,3.162,2.646,3.162,3,2.828,3.162,3,2.828,2.828,2.236,2.449,2.449,2.646,2.236,2.236,2.646,2,3.606,3.464,2.646,2.828,2.828,2.828,2.828,2.828,2.828,3,3.162,2.646,2.828,0
14,98,C,2,2.449,2.236,2.449,2.828,2.646,2.236,2.449,2.449,2.449,2.449,2.449,2.646,2.646,2,2.449,2.449,2.449,2.449,2.646,2.449,2,2,1.732,1.732,1.732,2.236,2.449,1.414,2,2.646,2.449,2.449,2.449,2.236,2,1
15,22,C,4.796,4.583,4.472,4.359,4,4,3.606,3.464,2.828,5.099,4.243,4,4.583,4.899,4.243,4.472,4.69,4.796,4.472,5.099,3.606,3.464,3.464,3.742,3.606,3.317,4,3.742,4.243,3.742,3.606,3.317,3.606,3,2.646,3.464,2
16,3,C,1.732,2,1.414,2,2.236,1.732,2.449,2.236,2.449,2.236,3.873,3.742,3.742,4,4.123,3.317,3.873,3.317,3.464,3.317,3.464,2.828,5.292,4.359,4.243,4,3.317,3.873,3.317,2.449,2.828,2.646,2.449,3.317,2,4.243,2
17,46,C,4.123,4.123,4.899,4,4,3,3.317,7.746,2.646,3.742,3.464,3.742,1.414,3.873,2,2.236,2.449,3.464,3.162,2.646,5.657,2.236,3.464,4,3.317,2.236,3.742,2,1.414,2.646,3.162,4,2.828,4.69,2,2,2
18,46,B,2.449,2.646,2.449,2.646,2.828,3,2.646,2.828,2.828,2.828,2.646,3.162,2.646,2.646,4.69,3.317,3.742,2.828,2.828,2.828,3.317,3,3.162,3,3.162,3.606,2.646,3.873,5.568,2.828,4.472,4.359,3.162,3,3.162,3,1
19,22,B,2.449,2.449,2.449,2.646,3,2.828,2.236,2.646,2.646,2.646,2.646,2.828,2.828,2.646,2.828,2.828,3,3,2.828,2.828,2.449,2.828,2.646,2.828,3,3,2.828,2.828,2.646,2.828,3,2.828,2.828,3.162,3,2,0
20,22,B,2.449,1.414,2.236,1.732,1.414,2.449,2,1.732,2.236,2,1.732,3.606,1.414,2.828,1.732,1.414,2.449,3.317,1,2.449,2.449,2.828,4.796,4.243,4.123,4.123,4.472,3,2.646,4.583,3.464,2.828,3,2.236,2.449,1.414,2
21,22,C,2.236,2.236,2,2,1.732,2,2,1.732,1.732,1.732,2,2,2,2.236,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1
22,46,B,5.568,5.831,5.477,5.568,5.657,6,5.568,7.416,5,3.317,4.472,3.162,8.718,5.385,3.317,6.083,5.657,6.856,4.796,7.141,6.083,7.071,6.633,7.874,9,7.81,8.246,5.477,6.633,5.657,5.099,6.633,8.246,7.483,7.416,3.742,2
23,22,C,2,2,2,2,1.732,1.732,2,1.732,1.414,1.414,1.732,1.732,2.236,2.236,1.732,1.732,1.732,1.732,2,1.732,1.732,1.732,1.732,1.732,1.414,1.414,1.732,1.414,1.732,1.414,1.732,1.414,1.732,1.414,1.414,1.732,0
24,22,C,2.828,3.606,2.236,2.646,2.646,2.646,3,2,2.449,2,2.828,2.646,2.236,1.732,1.732,2.236,2.646,2.236,2.449,1.732,2,1.732,1.414,1.414,1.732,2.236,2.646,1.732,2.236,1.732,1.732,1.732,2.449,1.732,2,1.414,2
25,22,C,3.317,2.646,2.646,3,2,3,2.646,3.162,2.236,1.732,3.162,2.646,2.449,3.162,3.606,2.236,2.828,3.317,2,3.162,2.646,2.449,2,2.449,2.236,2.646,2.236,2.236,2.236,2.236,2.449,2.236,2.236,2,2,1.414,0
26,22,C,6,3.742,2.449,2.236,2.449,2.449,2.449,2.449,2.236,2.449,2.236,5,3,2.449,2.449,2.646,2.449,2.236,2.449,2.828,3,2.646,2.236,2.828,2.828,2.236,1.732,2.236,2.646,2,3,2.828,2.449,2.449,2.449,3,0
27,22,C,4.243,3.606,3.873,3.742,3.606,3.317,3.742,3.317,4,3.464,3.317,4.243,4.583,3.464,3.742,3.162,3.317,4.123,4.359,4.472,3.606,3.742,3.464,3.873,3.873,3.742,3.464,3.873,3.606,4.472,4.123,4,3.873,3.162,3.162,3.317,0
28,22,B,1.414,1,1.414,1.414,1.414,1,1.414,1,1,1,1.414,1,1,1,1.414,1.414,1.414,1.732,1.732,2.236,2.236,2.449,2.449,2,2.236,2,3,3.606,1.414,3.742,2.646,2.646,2.449,2.646,2.828,3.162,1
29,22,C,2.828,3.606,3,2.828,2.828,3,3,2.828,3,2.828,3,2.828,3,2.828,3.162,3.162,3.317,3.873,4.243,4.123,3.873,4,4.69,4.69,5.385,3.606,3.464,3,4.796,4.583,4.583,4.359,4,4,3.464,2.828,1
30,22,C,2.828,2.646,2.449,2.449,2.449,2.449,2.449,2.449,2.449,2.449,2.449,2.449,2.449,2.449,2.449,2.646,2.449,2.449,2.646,2.449,2.449,2.449,2.236,2.449,2.449,2.646,2.449,2.449,2.449,2.449,2.449,2.449,2.449,2.449,2.449,2.449,1
31,46,C,2.646,2.828,2.449,2.646,2.449,2.646,2.449,2.449,3,2.646,3.162,2.828,3.162,2.828,2.828,3,3.162,3.162,2.236,3,2.449,2.449,2.236,2.449,2.449,2.646,2.449,2.449,2.236,2.236,2.646,2.646,2.646,2.236,2.236,2.236,0
32,22,C,1.732,2.236,1.732,2.236,2.646,2,1.732,2.449,2,2,2.449,1.732,1.414,2,1.732,2,1.732,2,1.732,2.449,3,1,2,2,3,2,3.317,2.646,2,2,3.317,2.236,2,2,2,1.414,2
33,22,B,1.732,1.414,1.414,1.414,1.414,2,1.414,1.414,1.732,1.732,1.732,2,1.732,1.414,3,2.449,1.732,1.732,1,5.477,2,2,1.414,1.414,1.414,1.732,1.414,1.732,1.414,1.732,3.873,1.732,2.236,3.464,4,3.873,1
34,22,C,2.236,2.236,2.236,2.236,2.236,2.236,2.236,2,2.236,2,2,2.236,2.449,2.449,2.236,2.236,2.236,2.646,2.236,2.449,2.236,2.449,2,2.236,2.236,2.449,2.646,2.449,2.646,2.236,2.828,2.449,2.236,2.449,2.236,2,1
35,2,B,2.449,3.162,3,2.236,1.732,3.162,3.162,2.236,2.236,2.828,1.732,2.828,3.464,2.236,2.236,2.646,2.646,3.317,1,2.828,3.606,2.828,2,2,1.414,2.236,2.236,2.236,1,2.449,2,2.828,2,2,1,2.236,2
36,2,C,3.464,3.464,3.162,3.162,3.162,3.162,3.317,3,3,3,3,2.828,2.828,3,2.646,2.828,2.828,3.317,3.464,3,3.317,2.828,2.828,3.873,2.828,3.162,2.828,3,2.646,3.606,2.646,2.828,2.828,2.449,3.742,2.236,2
37,22,C,2.828,1.414,1.732,3.317,4.243,3.742,3,2.828,2,2,3.162,3.464,1.414,3.464,3.464,3.873,3.162,3.464,2.646,2.449,2.646,2.646,3,4,3.464,3.873,4.359,3.606,3.317,3.873,3.317,4.359,3.317,3.606,3,2,0
38,22,B,4.123,3.742,3.464,2.828,3.464,3.464,3.317,3.873,3.873,4.123,3.742,3.464,3.742,4.359,4.472,4.243,3.742,3.606,4.472,4.899,4.899,4.243,3.873,4.243,4.472,4.796,4.472,4.583,4.796,5.196,4.359,5.477,5.196,6.164,4.472,4.899,2
39,46,B,3.742,2.449,3,3.162,3.162,3.317,4.243,2.236,3.464,3.162,3.464,3.464,3.742,3.606,4.472,3.464,4.243,2.646,3.873,3.464,4,4,3.873,4.472,3.464,3.464,4,4.123,4.359,2.646,3.873,3.606,2.449,2.646,2.449,2,1
40,22,C,1.732,1.732,2,1.732,2,2,2,2.449,2.236,2.236,2,2.236,2.236,2.236,2,2.236,2.449,2.236,2.449,2.236,2.236,2.236,2.236,2,2.236,2,2.236,1.732,2.236,2,1.732,2,2,2,2,2,0
41,2,C,3.464,2.236,2.646,2.236,2,2.236,2.236,2.236,2.236,2.236,2.236,2.236,2.236,2,2.236,2.236,2.236,2,2.236,2.449,2.449,2.236,2.236,2.646,1.732,2.236,2.449,2.236,2.236,2.646,2.646,2.646,2,2.449,2,2.449,2
42,22,C,3.464,3.464,3.464,3.606,3.464,3.606,3.742,3.464,3.464,3.606,3.606,3.464,3.606,3.606,3.464,3.606,3.464,3.317,3.317,3.317,3.317,3.317,3.162,3.162,3,2.828,3.162,3,3.317,3,2.828,3,3,3.162,3,2.828,2
43,22,B,3.464,3.162,3.162,3,3,3.162,3.317,3.464,3.606,3,3.162,3.162,3.162,3.317,3.317,3.742,3.162,3.162,3.162,3.162,3.317,2.828,3,3.317,3,2.828,2.828,3,3.317,3.464,3,3.162,3.162,3,3.317,3.162,1
44,46,C,1.732,2.236,2.449,2.646,2.449,2.449,2.646,2.236,2.828,3.742,3,1.732,2.828,3.162,3.873,2.236,2.236,2.646,2.828,2.828,3,2.236,2.236,2,2.646,2.449,2.449,3.317,2.236,3.464,3.162,3.317,1.732,2.828,3,4.123,1
45,46,B,2.449,2.449,2.236,1.414,3.317,2.449,2.236,2.449,3,2.449,2.449,2.646,2.236,3.317,3.606,6.481,2.646,2.449,1.732,2.828,2,2,2,1.732,2,1.732,2.236,1.732,1.732,1.414,1,1.414,1.414,1.414,1.414,1.414,2
46,22,B,3.873,3.317,3.162,3.317,2.828,3.162,3,3.162,3,3.464,3.162,3.464,3.317,3.317,3.317,3.162,3,3.317,3.317,3.162,3.162,3.162,3,3.317,3.464,3,2.828,3,4.899,3,3,3,3,3.162,2.828,2.828,1
47,22,B,3,2.646,3,3,2.449,1.732,4.243,2.646,2.828,2.646,2.646,2.449,3.873,2.646,1,2.646,2.646,2.449,3.464,2.646,2.449,2.646,1.732,3.162,2.449,2.449,1.732,2.236,2.236,1.732,2.449,2,1.732,2.236,2,2,2
48,22,B,5.292,5.196,5.385,3.317,2.828,3.162,3.162,2.828,3.464,3.162,3.162,2.828,3.464,3.317,3.317,3.464,3.742,3.606,3.742,3.464,3.606,3.317,5.292,3.873,3,3.464,3.742,3.742,4,3.742,3.606,2.828,2.828,2.236,2.646,2.646,2
49,22,B,2,2.236,2,2.236,2,2,2.646,2.236,2,2.236,2,2.449,2.236,2,2.236,2.646,2.236,2,2.236,2,2.236,2.449,2,2.449,2,2.236,2.449,2,2.236,2,2.449,2,2.449,2,2.236,2,1
50,22,B,2.828,2.828,2.646,2.828,3,3.317,3.317,3.317,3.464,3,2.236,2.449,2.449,2.646,2.828,2.828,2.828,3.162,3.162,3.317,3.162,3.162,3,3.162,3,3.162,2.236,1.732,2,2,1.732,2,2,2,2.236,2,2
51,46,B,3.162,2.646,2.828,2.828,3,2.646,2.828,2.449,2.449,2.449,2.646,2.449,2.236,3.317,3,2.828,3,2.449,2.646,2.236,2.646,2.236,2.236,2.449,2,2.236,2,2,2,2.236,2,2,2,1.732,2,1.414,2
52,22,B,3.464,6.164,3.162,3.606,3.606,3.317,4,3.162,3.742,4.123,5.657,6.557,4.583,6.245,8.944,5.385,4,6.856,4.359,6.083,4.123,4.583,3.606,2,4,6.856,5,3.317,3.162,3.873,3.742,4.123,4.899,3.317,4.123,3,1
53,22,B,4.899,4.472,5.385,8.124,5,4.899,4.69,5,4.69,4.69,4.359,4.359,4.583,4.583,4.899,4.796,4.899,4.69,5.385,5.196,4.899,4.899,5.099,5.477,4.899,4.583,5.477,5.568,5.831,3.317,4.123,2.828,2.828,1.732,2.236,3,0
54,22,B,3.317,2.828,3.162,3,3.162,3.464,3,3,3.317,3.317,3.317,3.606,3.317,2.236,2.828,3,2.236,3,2.828,2.646,3,3.162,3.162,2.828,2.828,2.828,3.317,2.646,1.732,2.646,2.828,2.828,3,1.732,2.828,1.414,2
55,22,B,2.646,3,2.449,2.828,2.449,2.449,2.646,2.646,2.449,2.646,2.236,2.828,2.449,2.449,2.646,2.828,2.646,2,2.236,2.449,2.449,2.236,2.449,1.732,1,2.828,2.236,2.828,2.646,2.646,2.646,2.646,2.646,2.449,2.236,2.236,0
56,22,B,1.414,1.732,1,3,2.449,2.449,2.236,2,2.646,2,2.449,2.646,2.236,2.236,2.828,2.449,2.449,2.646,2.828,2,3.606,2.646,2.236,2,2.449,1.732,1.732,1.732,1.732,1.414,2.449,1.732,1.732,1.732,1.732,2.236,0
57,22,B,3.317,3.464,3.464,3.606,4.123,4.796,3.317,2.828,4.69,3.873,4.359,3.742,3.464,3,3.317,1.414,3.162,2.828,3,1.732,3.162,2.646,3,3.464,3.162,3,3.162,3,2.236,3,3.742,3.742,3.162,3.162,3.162,1.732,2
58,22,B,2.449,2.236,5.568,2.828,2.646,2.828,2.646,2,2.449,2.646,2.646,2.449,1.414,2.646,2.449,2.449,2.828,2.449,2.236,2.646,2.828,2.646,2.828,2.236,3.162,2.646,3.162,2.646,2.646,3,2.449,2.449,2.449,2.449,2.236,2.236,0
59,22,B,1.414,1,1.732,1,1,1,1.414,3.464,3.873,2.646,3.162,3.317,3.317,3,2.646,2.449,2.449,2.236,2.646,2.236,2.236,2.449,3.317,2.828,2.236,2,1.732,2,1.414,1,2,1,1.414,1,1,1.414,0
60,2,B,5.099,4.359,6.083,6.083,6,5.831,5.099,5.477,5.568,5.568,5.831,5.745,5.385,5.385,5.916,5.657,5.657,5.568,5.831,6.083,6.164,5.292,5.385,5.657,5.831,5.831,6,5.568,5.657,5.831,6.083,5.568,5.385,5.477,5.196,5.477,2
61,22,B,1.414,2,2.236,2.449,2.646,2.828,2.236,2.449,2.236,2.236,2.236,2.646,2.646,2.449,2.449,2.449,2.449,2.449,2.449,3,3,2.828,2.646,2.646,2.646,2.646,2.646,2.646,2.646,2.646,2.646,3.317,3.742,3.742,4,4.583,0
62,22,B,4.472,4.583,5.099,5.385,5.196,4.899,4.69,4.359,4.69,4.472,4.899,5.196,6.164,4.69,4.472,4.359,4.243,4.359,4.583,3.873,3.464,4,3.606,4.243,4.359,3,3.162,3,3.317,2.828,3,3.464,3.317,1,1.414,2.828,1
63,22,B,3.606,3.464,3.464,3.742,4.69,3.606,3.464,2.236,1,3.317,3.317,2.828,3.464,3.464,3.606,2.828,3,3.317,3.464,3.742,4.472,4.123,4.359,4.359,3.742,3.742,4.359,4.69,3.317,4.583,4.243,4.123,4.359,4.123,4.243,4.472,2
64,22,B,3.162,3,2.828,3,2.646,2.828,2.236,2.449,2.646,2.646,2,2.236,2.449,2.236,2.646,2.449,2.449,2.449,2.236,2.828,2.449,2.236,2,2,1.732,2.236,2.646,2.449,2.236,1.414,2.449,2,2.236,2,2.449,3.464,2
65,46,B,2.828,6.164,4.359,4.472,4.472,6.325,5.196,5.099,6.325,6,6.245,4.123,6.245,5,5.568,4.899,3.873,5.916,4.796,4.796,4.899,4.69,3.464,4.123,4.472,5,5.477,4.123,4.359,2.646,4.69,4.359,4.472,1.732,3.606,2.646,2
66,22,B,3.317,3.606,3.873,3.873,4.123,3.317,3.464,3.162,3.162,3.606,4.243,3.317,3.162,3.464,3.464,3.162,3.317,4.123,2.449,3.606,3.742,3,3.873,4.359,4.123,3.464,3.606,3.606,5.196,3.464,3.742,3.317,3.742,3.162,3.606,3.464,0
67,22,B,5.099,4.243,4,4.583,4.123,4,4.243,4.796,4.583,4.796,4.472,4,4.583,4.359,4.69,4.583,4.69,4.899,4.359,4.796,3.742,3.873,3.317,3.464,3.606,3.464,3.162,3.606,3,2.828,3.162,3.317,3.162,2.646,3,2.828,2
68,22,B,4.359,3.873,4.472,4.583,3.873,4.243,4.359,4.123,4.472,4,4.123,4.359,4.472,4.359,4.123,4.243,4.243,4,4,2.828,3.464,3.162,2.449,3.162,2.828,2.828,3.162,2.449,3,2.646,2.449,2.646,2.646,2.449,2.646,1,2
69,22,B,1.414,2.236,2,1.732,1.414,2,1.414,2,2,1.414,2,2,2.236,2,2,2,2.236,1.732,2.449,1.414,3,2.236,1.414,2,1.732,2.236,2.646,2,1.414,2.646,2.236,2.236,2.828,2.449,2,2.646,1
70,22,C,3.464,3.162,3.606,3.606,3.317,3.742,3,2.646,3.464,3.464,3.464,3.464,3.464,3.317,3.742,3.742,3.742,3.464,3.606,3.742,1.732,3.606,3.606,3.606,3.873,3.742,3.606,4,4,3.873,4.123,4.123,4.359,7,5.568,3.317,1
71,22,B,3.317,3.162,2.828,3,3,2.828,3.317,2.828,3.317,3,3,3.317,3.317,3.464,3,3,2.449,2.646,3.162,3.162,2.828,2.828,3.464,3.464,3.162,3.162,3,1.732,2.449,3.317,3.317,2.828,3,2.828,3.162,1.414,2
72,22,B,3,3.464,3.464,4.472,3,3.162,4.243,3.317,5.099,3.606,3.606,5.196,3,3.162,2.828,3.317,3,5,3.464,3.317,3.317,3.317,2.449,3,3.162,2.828,3.162,2.828,2,2.449,3.162,3.162,3,1.732,3.162,1,0
73,22,B,5.385,4.899,4.796,5.196,5,4.796,4.123,4.359,2.828,3.873,3.742,3.873,4.123,4,4.123,3.464,3.317,3.742,4,3.606,4.123,4.243,3.606,4,4.796,2,3.742,3.162,3.162,2.828,4,3.317,2,2.236,1.732,2,0
74,22,B,3.464,3.162,4.69,4.359,3.162,3.317,3.873,3.464,3,7.071,9.487,3.317,4.583,4.69,3.162,3.742,12.166,6,3,4.899,6.164,6.325,7.348,8.367,3.873,2.828,3.464,3.464,3.317,3.162,3.317,3.317,3.162,2.646,2.449,2.646,2
75,22,B,3,5.196,3.162,2.828,2.449,2.646,3,2.646,3.162,3.317,4.123,2.828,3.317,3.162,3,2.449,2,2.828,2.449,2.236,2.236,2,2.236,2,2.236,2.236,2.828,1.732,2.236,2.236,2.236,2.236,2,2.236,2,2.449,0
76,22,B,3.162,2.828,2.828,3,2.828,3,2.449,2.828,2.236,2.236,2.236,2.646,2.646,2.646,2.828,2.646,2.646,3,2.646,3.873,3,3,3.873,3.606,4.243,3.162,3.606,3.742,3.606,3.742,4.123,4.123,4.359,3.742,4,4.243,1
77,22,B,5,4.899,5,5.099,5,5,4.899,5.292,5.099,5.099,5.292,5.292,5.196,4.583,5.477,5.196,5.196,5.568,5.099,5.477,5.196,5,5.196,5.657,5.477,5.385,5.657,5.657,4.899,5.292,5.385,5.657,5.745,5.196,5.568,5.657,1
78,22,B,2.236,2.236,2.449,2.828,3.162,2.828,2.449,2.449,2.449,2.646,2.828,3,3,3.162,2.449,2.646,3.162,2.449,2.828,2.646,2.828,2.828,2.828,3.464,3.464,2.646,2.646,3.162,3.162,2.449,3.317,3,3.317,2.828,2.236,1.414,2
79,46,B,2,3,2.646,3.464,3.317,3,2.646,2.646,2.828,5.831,1.414,3.464,6.325,2.828,2.449,1.732,1.732,1.732,2.449,1.732,2.646,3.317,3.464,3.317,1.732,1.414,4.243,2.449,2,1.732,2,1.732,2,1.732,1.414,1.414,2
80,22,B,3.162,1.732,2.449,2,2.236,2.449,2.449,2.236,2.236,2.449,2.449,2.828,2.449,1.732,3,2.449,2.236,2.236,1.732,2,2.449,2.236,2.236,2.449,2.449,2,2.449,2.646,2.646,2.646,2.646,2.646,2.646,2.449,2.449,2.449,1
81,22,B,1.732,1.732,2,2.646,1.732,2,2,3.742,2.236,1.732,2,1.414,2.236,1.414,1.414,1,2.236,2.449,1,1.732,1.414,1.414,1.414,2,1.414,1.732,2.828,2.449,2.236,1.732,2.236,1.732,2.236,1,2,1.414,0
82,22,B,3.162,3.464,3.606,3.606,3.317,3.464,3,3,3,3.464,3.162,3.606,3.464,3.606,3,2.828,3,2.828,3,3.317,3,4,3.606,3.742,3.162,3.317,3.606,2.449,1.732,2.236,3.317,3.873,4,3.464,2.828,3.742,2
83,46,B,3.317,3.162,3.317,3,3.317,6.403,3.162,3.162,3.464,2.828,3.742,3.317,3,1.732,2.828,1.732,1.414,1.732,2.828,2.236,1.414,1.414,1.414,1.414,1.732,1,1.732,2.236,1.414,1.414,1.414,1.414,1.732,1.414,2.449,4.243,2
84,22,B,3.464,3,3.317,3.606,3.162,3.162,3.317,3,3.162,3.606,3,3.162,3.162,3.162,3,3,3,3.317,3.162,3,3.162,3.162,3.162,3.317,3,3,3.464,4,2.828,3,3.162,3.317,3.162,3.162,3.162,3.317,0
85,22,B,3,4.69,2.646,2.236,2.449,2.828,2.236,2.449,3,2.236,2,2.449,2.449,2.828,2.646,2.828,2.646,2.646,2.828,2.646,2.646,3.162,2.646,2.828,3.464,3,2.828,3.162,2.646,2.646,2.646,2.449,2.449,2.236,2.449,2.236,2
86,22,B,2.236,2.646,2.646,2.828,2.828,2.828,2.646,2.449,2.828,2.828,2.828,2.828,3.317,2.828,2.828,2.828,2.828,2.828,2.828,3.162,2.828,2.828,3,2.828,3,2.828,2.828,2.828,2.828,2.828,3.464,2.646,2.646,2.646,2.646,2.646,2
87,22,B,3.464,3.464,3.606,3.606,3.464,3.464,3.606,4,3.464,3.464,3.742,3.464,3.742,3.464,3.464,3.873,3.606,3.162,3.464,3.742,3.464,3.742,3.464,3.742,3.464,3.464,3.464,3.317,3.606,3.464,3.464,3.606,3.606,3.606,3.464,3.464,2
88,22,B,2.236,1,2.646,2.236,2.236,2.449,2.646,2.828,1.732,2.449,2,2,1.732,1.732,1.732,1.732,2.236,2.646,2.449,2,1.732,1.732,1.414,1.732,2.236,2.449,1.414,1.732,1.414,1.732,1.732,1.732,1.732,1.732,2,5,0
89,22,B,2,3.606,2,2.236,1.414,4.359,2.449,2.828,4,3.464,3,3.162,2.646,3.162,3.317,2.828,2.828,3.162,3.742,3.873,3.162,3,2.646,2.449,3.317,2.828,2.828,2.828,3.873,3.162,3.317,3.162,2.828,2.236,2,1.414,1
90,22,B,3.606,3.873,3.742,3.742,3.606,3.606,3.606,3.317,3.464,3.464,3.464,3.606,3.317,3.742,3.742,3.606,3.606,3.464,3.742,3.464,3.606,3.742,3.606,3,3.873,3.873,3.873,3.873,3.873,4,3.742,3.742,3.873,4,3.606,3.873,2
91,22,B,3.873,3.873,4,3.606,4.123,4.243,4.796,3.873,3.162,3.606,3,3,2.828,3.162,3.162,3.317,3.606,4,3.742,4.243,5,4.123,4.359,4.472,4.69,5.196,5.196,5.831,5.916,1.732,2.828,2.828,2.449,3.606,2.236,4.583,0
92,22,B,1.732,2,2.236,2.236,2.236,2.236,2.236,2.236,2.236,2,2.236,2.449,2.236,2,2,2,1.414,1.732,1.732,1.732,1.732,1.732,1.414,1.732,2.236,1.732,2,1.414,1.732,1.414,1.732,1.414,2,2.236,2.236,1,1
93,22,B,3.742,3.464,3,3,3.162,3,2.828,2.828,2.646,2.646,2.449,2.646,4.69,3.464,3.162,4.472,3,2.236,3.162,3.162,2.646,2,2.449,2,2.236,2.449,2,2.236,2.449,2.236,2.449,3.317,2.236,2.449,2.449,2.236,1
94,22,B,2.646,1.732,2.828,2.646,2.236,4.796,2.646,2.646,2.449,2.828,2.236,2.646,3.317,2.449,2.646,2.828,2.646,2.449,2.236,2.828,2.449,2.449,2.449,2.449,2.449,2.646,2.449,2.236,2.236,2.449,2.236,2.236,2.449,2.236,2.449,2.449,0
95,22,B,1,1.414,1.732,2.449,1.414,1.732,1.414,1.732,1.414,1.732,2.449,1.732,1.732,1.732,1.414,2,1.732,1.732,1.732,1.732,1.414,1,1,1.414,1.414,1.414,1.732,1.414,1.414,1.732,1.414,1.732,1.414,1.732,1.732,1,2
96,22,B,3.317,3.162,2.828,3,2.449,2.236,2.236,2.236,2.828,2.236,2,2,2.828,2.828,2.449,2.236,2.449,2.828,2.646,2.236,2.646,3.162,2.646,2.449,3.464,2.449,2.828,2.828,2.646,2,2.646,2.449,3,2.449,2.236,2,1
97,22,B,2.828,2.449,2.236,2.236,2.236,2.449,2.449,2.236,2.449,2.828,2.646,2.828,2.828,2.828,2.449,3,2.646,2.646,2.449,3.317,3.162,3,2.646,2.449,2.828,2.828,3,3.162,2.236,2.236,2.449,2.828,2.236,2.646,2.449,1.732,1
98,22,B,5.385,3.464,3,3.162,2.828,3.317,2.828,4.472,2.449,2.236,2.236,2.236,2.646,1.732,3.162,4.123,4.243,3.873,3.873,4.243,3.873,4,3.873,3.317,3.606,2.828,2.236,3.317,2.449,2.236,2.236,2.236,1.732,2.828,2.449,2.646,1
99,22,B,3.162,2,2.236,1.414,2.646,1.732,2.449,2.236,2,2.236,2.236,2,2.828,2.828,2.236,2.236,3.464,1.732,2.449,2,2,2.236,2,2.236,1.732,2.449,2.236,2.449,2,2.236,1.732,2.236,1.414,1.732,2.646,2,1
