ID,Met,Norte,Rio,Sor,Socc,Valor de vivienda,Area,Habitaciones,Garajes,Baños,Casa,Apartamento,E_Bajo,E_Medio,E_Alto,D_Parques,D_salud,D_Comercios,D_Centros educativos,D_Transmetro ,D_Bus,R_Bajo,R_Medio,R_Alto,S_Bajo,S_Medio,S_Alto,Residencial,Comercial,Institucional,Otros,Densidad
72,0,0,0,0,1,280,197,4,0,2,1,0,1,0,0,549.20,87.96,246.32,225.26,366.34,103.45,0,1,0,0,0,1,1,0,0,0,0.03
73,0,0,0,0,1,450,112,3,0,1,1,0,0,1,0,306.48,267.53,246.32,494.74,383.61,306.79,0,1,0,0,0,1,0,0,0,1,0.02
74,0,0,0,0,1,230,265,10,2,4,1,0,1,0,0,220.83,302.45,53.48,122.42,1.139.37,291.05,0,1,0,1,0,0,1,0,0,0,0.02
75,0,0,0,0,1,290,490,3,0,2,1,0,1,0,0,251.55,330.20,255.12,180.30,2.336.24,44.15,0,1,0,0,1,0,1,0,0,0,0.04
76,0,0,0,0,1,550,126,3,1,2,1,0,0,1,0,340.22,388.62,390.36,293.64,1.847.53,24.59,0,1,0,0,1,0,1,0,0,0,0.02
77,0,0,0,0,1,630,454,9,1,6,1,0,1,0,0,279.32,331.17,390.36,249.11,1.915.35,20.09,0,1,0,0,1,0,1,0,0,0,0.03
78,0,0,0,0,1,450,204,8,0,6,1,0,1,0,0,173.42,732.52,390.36,299.72,2.200.24,48.85,0,1,0,0,1,0,1,0,0,0,0.03
79,0,0,0,0,1,420,320,4,1,3,1,0,0,1,0,307.45,401.21,528.60,124.65,57.98,53.94,0,1,0,0,0,1,1,0,0,0,0.03
80,0,0,0,0,1,350,99,3,1,2,1,0,0,1,0,141.10,374.65,114.39,128.99,265.06,105.12,0,1,0,0,0,1,1,0,0,0,0.03
81,0,1,0,0,0,550,256,3,1,2,1,0,0,1,0,424.68,88.86,96.57,170.45,294.15,47.89,0,1,0,0,0,1,1,0,0,0,0.01
