LOCALIDAD,BARRIO,Num_Hab,Num_Garaje,Num_baños,Tipo,Estrato,Uso_suelo,Nivel_ruido,Distancia_al_parque,Distancia_cc,Distancia_escula,Distancia_Uni,Distancia_transporte_convecional,Distancia_transmetro,Indicador_seguirdad,Valor_vivienda_millones,Log_Precio,Area
SUROCCIDENTE,LOMA FRESCA,3,1,2,Casa,Medio,Actividad Residencial,Medio,141.1,374.7,114.4,129.0,265.1,105.1,97.3,350,2.5,99.0
NTE-CTO HIST,BOSTON,3,1,2,Casa,Medio,Actividad Residencial,Medio,424.7,88.9,96.6,170.4,294.1,47.9,75.6,550,2.7,256.0
NTE-CTO HIST,BOSTON,3,1,2,Casa,Medio,Actividad Residencial,Medio,324.2,25.0,77.8,170.5,305.1,21.5,75.6,470,2.7,256.0
NTE-CTO HIST,BOSTON,2,1,2,Apartamento,Medio,Actividad Residencial,Medio,294.6,132.1,154.9,107.6,252.5,6.3,75.6,180,2.3,76.0
NTE-CTO HIST,BOSTON,5,0,2,Casa,Medio,Actividad Residencial,Medio,333.6,99.5,132.4,130.2,193.6,10.5,75.6,320,2.5,117.0
NTE-CTO HIST,BOSTON,4,1,2,Casa,Medio,Actividad Residencial,Medio,397.9,64.5,68.0,69.5,153.8,6.7,75.6,600,2.8,256.0
NTE-CTO HIST,BOSTON,3,1,3,Casa,Medio,Actividad Residencial,Medio,372.5,112.8,110.3,101.1,197.4,15.4,75.6,376,2.6,110.0
NTE-CTO HIST,BOSTON,3,0,2,Casa,Medio,Actividad Residencial,Medio,429.9,107.5,137.6,111.7,191.4,53.3,75.6,365,2.6,126.0
NTE-CTO HIST,BOSTON,3,0,2,Apartamento,Medio,Actividad Residencial,Bajo,453.6,124.2,87.6,59.4,141.8,75.8,75.6,220,2.3,99.0
NTE-CTO HIST,BOSTON,5,2,5,Casa,Medio,Actividad Residencial,Bajo,443.8,213.5,116.8,140.9,110.6,30.7,75.6,750,2.9,400.0
SUROCCIDENTE,EL SILENCIO,3,1,3,Casa,Medio,Actividad Comercial,Bajo,193.4,434.1,174.1,282.2,140.6,4.9,68.9,380,2.6,110.0
SUROCCIDENTE,EL SILENCIO,2,0,1,Apartamento,Medio,Actividad Residencial,Medio,120.3,429.8,98.9,212.8,81.5,17.1,68.9,160,2.2,70.0
SUROCCIDENTE,EL SILENCIO,4,1,3,Casa,Medio,Actividad Residencial,Bajo,42.6,359.5,23.3,200.6,8.4,8.1,68.9,395,2.6,140.0
SUROCCIDENTE,EL SILENCIO,3,0,2,Apartamento,Medio,Actividad Residencial,Bajo,90.9,468.8,114.4,107.7,22.6,14.7,68.9,260,2.4,144.0
SUROCCIDENTE,EL SILENCIO,5,1,3,Casa,Medio,Actividad Comercial,Medio,146.5,641.6,113.3,189.2,16.9,16.8,68.9,300,2.5,180.0
SUROCCIDENTE,EL SILENCIO,3,0,2,Casa,Medio,Actividad Residencial,Bajo,115.6,483.2,238.7,39.5,204.9,9.6,68.9,350,2.5,160.0
SUROCCIDENTE,EL SILENCIO,3,0,3,Apartamento,Medio,Actividad Residencial,Bajo,89.4,300.7,110.7,90.9,115.6,18.1,68.9,290,2.5,98.1
SUROCCIDENTE,EL SILENCIO,3,1,2,Casa,Medio,Actividad Residencial,Bajo,35.1,80.2,103.2,113.4,285.6,6.5,68.9,350,2.5,243.0
SUROCCIDENTE,EL SILENCIO,3,1,2,Casa,Medio,Actividad Residencial,Bajo,55.7,95.8,80.3,125.2,310.0,15.8,68.9,420,2.6,148.0
SUROCCIDENTE,EL SILENCIO,5,1,4,Casa,Medio,Actividad Residencial,Bajo,124.4,190.4,168.0,48.9,109.4,29.1,68.9,310,2.5,170.0
SUROCCIDENTE,EL SILENCIO,3,0,1,Apartamento,Medio,Actividad Residencial,Bajo,125.7,207.4,153.6,66.2,91.2,24.8,68.9,180,2.3,64.0
SUROCCIDENTE,EL SILENCIO,4,1,4,Casa,Medio,Actividad Residencial,Bajo,83.0,181.0,180.1,79.7,94.7,68.1,68.9,550,2.7,243.0
SUROCCIDENTE,EL SILENCIO,3,0,1,Apartamento,Medio,Actividad Residencial,Bajo,30.6,191.0,121.9,137.0,67.6,68.0,68.9,160,2.2,65.0
SUROCCIDENTE,EL SILENCIO,3,1,2,Casa,Medio,Actividad Residencial,Bajo,55.6,225.2,63.5,204.1,33.9,33.9,68.9,550,2.7,110.0
SUROCCIDENTE,EL SILENCIO,3,0,1,Casa,Medio,Actividad Residencial,Bajo,43.6,218.4,45.1,172.6,80.4,40.0,68.9,270,2.4,55.0
SUROCCIDENTE,EL SILENCIO,3,0,2,Casa,Medio,Actividad Residencial,Bajo,6.7,114.0,20.3,90.9,347.9,124.4,68.9,315,2.5,95.0
SUROCCIDENTE,EL SILENCIO,3,0,2,Casa,Medio,Actividad Residencial,Medio,105.3,498.9,249.7,24.5,214.1,7.4,68.9,350,2.5,160.0
SUROCCIDENTE,EL SILENCIO,4,0,2,Casa,Medio,Actividad Residencial,Medio,62.6,537.9,263.5,23.7,190.0,15.4,68.9,330,2.5,128.0
SUROCCIDENTE,EL SILENCIO,4,0,2,Casa,Medio,Actividad Residencial,Medio,51.8,609.9,213.8,100.9,139.3,42.3,68.9,320,2.5,100.0
SUROCCIDENTE,EL SILENCIO,3,0,2,Casa,Medio,Actividad Residencial,Medio,161.7,635.8,209.4,158.3,29.5,30.4,68.9,400,2.6,126.0
SURORIENTE,LA ALBORAYA,No especificado,No especificado,No especificado,Casa,Bajo,Actividad Comercial,Medio,271.5,48.1,151.7,48.1,7.3,7.2,76.3,580,2.8,160.0
SURORIENTE,LA ALBORAYA,6,2,6,Casa,Bajo,Actividad Comercial,Medio,271.3,48.7,152.3,48.7,7.7,7.6,76.3,355,2.6,282.0
SURORIENTE,LA ALBORAYA,3,1,2,Casa,Medio,Actividad Residencial,Medio,348.9,313.2,258.7,38.8,289.9,278.3,76.3,350,2.5,170.0
SURORIENTE,LA VICTORIA,3,1,3,Casa,Medio,Institucional Equipamiento,Medio,411.9,168.4,154.3,277.4,15.3,15.1,79.7,500,2.7,143.0
SURORIENTE,LA VICTORIA,6,0,4,Casa,Medio,Actividad Comercial,Medio,360.4,201.0,203.1,245.5,101.0,102.7,79.7,450,2.7,300.0
SURORIENTE,LA ALBORAYA,3,0,1,Casa,Bajo,Actividad Residencial,Medio,199.2,227.1,283.3,101.4,138.3,137.5,76.3,200,2.3,85.0
SURORIENTE,LA ALBORAYA,3,0,2,Casa,Medio,Actividad Residencial,Medio,137.0,270.2,320.2,137.8,219.1,147.2,76.3,300,2.5,220.0
SURORIENTE,LA ALBORAYA,3,0,2,Casa,Medio,Actividad Residencial,Medio,61.2,312.6,341.8,169.6,335.5,4.9,76.3,320,2.5,225.0
SURORIENTE,LA ALBORAYA,3,1,2,Casa,Medio,Actividad Residencial,Medio,116.2,345.1,158.5,224.8,74.5,201.2,76.3,550,2.7,350.0
SURORIENTE,LA ALBORAYA,3,0,3,Apartamento,Medio,Area de Actividad Institucional,Medio,259.0,359.0,382.0,215.3,286.0,44.0,76.3,130,2.1,72.0
SURORIENTE,LA ALBORAYA,3,0,3,Casa,Bajo,Actividad Residencial,Medio,352.0,359.0,295.0,199.0,252.0,76.0,76.3,380,2.6,125.0
SURORIENTE,LA ALBORAYA,2,1,2,Casa,Bajo,Actividad Residencial,Medio,348.0,363.0,294.0,64.1,245.0,62.0,76.3,170,2.2,86.0
SURORIENTE,LA ALBORAYA,5,1,5,Casa,Bajo,Area de Actividad Institucional,Alto,433.0,62.0,142.0,101.3,12.0,200.0,76.3,320,2.5,180.0
SURORIENTE,REBOLO,3,0,1,Casa,Medio,Actividad Residencial,Bajo,444.0,344.0,87.0,125.5,1595.0,52.0,33.6,170,2.2,140.0
SURORIENTE,REBOLO,2,0,1,Apartamento,Bajo,Actividad Residencial,Bajo,59.0,79.0,184.0,95.4,1753.0,71.0,33.6,138,2.1,55.0
SURORIENTE,LAS NIEVES,5,1,2,Casa,Bajo,Actividad Residencial,Bajo,264.0,365.0,302.0,266.8,1032.0,116.0,65.3,310,2.5,236.0
SURORIENTE,LAS NIEVES,4,0,1,Casa,Medio,Actividad Residencial,Bajo,207.0,430.0,314.0,164.7,991.0,107.0,65.3,290,2.5,290.0
SURORIENTE,LAS NIEVES,3,1,2,Apartamento,Medio,Actividad Residencial,Medio,194.0,373.0,301.0,127.7,847.0,7.0,65.3,220,2.3,86.0
SURORIENTE,LAS NIEVES,2,1,2,Apartamento,Bajo,Actividad Comercial,Medio,466.0,370.0,55.0,288.1,1106.0,50.0,65.3,136,2.1,58.0
SURORIENTE,LAS NIEVES,5,0,2,Casa,Bajo,Actividad Residencial,Alto,176.0,115.0,63.0,349.6,664.0,23.0,65.3,200,2.3,150.0
SURORIENTE,LAS NIEVES,4,1,2,Casa,Bajo,Actividad Residencial,Alto,308.0,380.0,87.0,252.5,1199.0,94.0,65.3,275,2.4,202.0
SURORIENTE,LAS NIEVES,2,1,2,Apartamento,Bajo,Actividad Residencial,Medio,132.0,332.0,20.0,114.4,667.0,11.0,65.3,150,2.2,54.0
SURORIENTE,LAS NIEVES,4,1,3,Casa,Medio,Actividad Residencial,Medio,844.0,457.0,151.0,288.4,848.0,149.0,65.3,440,2.6,221.0
SURORIENTE,LAS NIEVES,3,0,1,Casa,Bajo,Actividad Residencial,Medio,410.0,312.0,267.0,232.1,931.0,124.0,65.3,280,2.4,100.0
RIOMAR,EL GOLF,3,2,4,Apartamento,Alto,Actividad Residencial,Medio,169.0,192.0,171.0,204.6,208.0,74.0,95.2,690,2.8,220.0
RIOMAR,EL GOLF,3,2,4,Apartamento,Alto,Actividad Residencial,Medio,174.0,147.0,72.0,167.1,118.0,119.0,95.2,640,2.8,210.0
RIOMAR,EL GOLF,4,1,5,Apartamento,Alto,Actividad Residencial,Bajo,212.0,128.0,286.0,182.6,131.0,138.0,95.2,1900,3.3,367.0
RIOMAR,EL GOLF,3,2,3,Apartamento,Medio,Actividad Residencial,Medio,66.0,288.0,185.0,169.4,259.0,267.0,95.2,510,2.7,129.0
RIOMAR,EL GOLF,5,3,5,Casa,Alto,Actividad Residencial,Medio,149.0,321.0,87.0,208.2,189.0,187.0,95.2,3500,3.5,800.0
RIOMAR,EL GOLF,3,1,3,Apartamento,Alto,Actividad Residencial,Medio,162.0,202.0,178.0,169.3,215.0,79.0,95.2,500,2.7,194.0
RIOMAR,EL GOLF,3,2,4,Apartamento,Alto,Actividad Residencial,Bajo,121.0,92.0,281.0,135.0,225.0,79.0,95.2,2100,3.3,217.0
RIOMAR,EL GOLF,3,1,4,Apartamento,Alto,Actividad Residencial,Medio,133.0,289.0,129.0,125.5,279.0,213.0,95.2,630,2.8,198.0
RIOMAR,EL GOLF,3,2,4,Casa,Alto,Actividad Residencial,Medio,164.0,166.0,108.0,57.9,161.0,80.0,95.2,2500,3.4,460.0
RIOMAR,EL GOLF,3,3,4,Apartamento,Alto,Actividad Residencial,Medio,84.0,178.0,104.0,46.4,194.0,196.0,95.2,2500,3.4,289.0
RIOMAR,EL GOLF,4,3,7,Casa,Alto,Actividad Residencial,Bajo,109.0,140.0,247.0,160.0,248.0,105.0,95.2,3200,3.5,700.0
RIOMAR,EL GOLF,3,2,3,Casa,Alto,Actividad Residencial,Bajo,28.0,45.0,189.0,74.0,172.0,22.0,95.2,1350,3.1,400.0
RIOMAR,EL GOLF,3,3,4,Apartamento,Alto,Actividad Residencial,Medio,143.0,202.0,96.0,287.0,206.0,114.0,95.2,2000,3.3,360.0
RIOMAR,VILLA CAROLINA,3,1,2,Apartamento,Medio,Actividad Residencial,Bajo,22.0,183.0,124.0,405.5,406.0,35.0,98.8,290,2.5,74.0
RIOMAR,VILLA CAROLINA,3,1,3,Apartamento,Medio,Actividad Residencial,Bajo,122.0,130.0,396.3,637.1,413.0,11.9,98.8,360,2.6,87.0
RIOMAR,VILLA CAROLINA,4,0,3,Casa,Medio,Actividad Residencial,Bajo,108.0,651.0,210.9,396.0,436.0,39.3,98.8,575,2.8,180.0
RIOMAR,VILLA CAROLINA,3,1,1,Apartamento,Medio,Actividad Residencial,Bajo,27.0,113.0,371.8,520.6,567.0,11.6,98.8,330,2.5,75.0
RIOMAR,VILLA CAROLINA,3,1,2,Apartamento,Alto,Actividad Residencial,Bajo,119.0,200.0,412.6,641.3,601.0,10.7,98.8,380,2.6,74.0
RIOMAR,VILLA CAROLINA,3,2,3,Apartamento,Alto,Actividad Residencial,Bajo,108.0,503.0,130.7,378.8,154.0,13.0,98.8,900,3.0,17476
RIOMAR,VILLA CAROLINA,3,1,3,Apartamento,Medio,Actividad Residencial,Bajo,34.0,335.0,519.7,796.3,627.0,83.2,98.8,495,2.7,89.0
RIOMAR,VILLA CAROLINA,3,1,2,Apartamento,Medio,Actividad Residencial,Bajo,16.0,267.0,72.8,261.9,341.0,34.4,98.8,300,2.5,72.0
RIOMAR,VILLA CAROLINA,3,1,2,Apartamento,Medio,Actividad Residencial,Bajo,58.0,406.0,12.1,229.3,192.0,4.7,98.8,315,2.5,90.0
RIOMAR,VILLA CAROLINA,2,1,2,Apartamento,Medio,Actividad Residencial,Bajo,41.0,341.0,534.6,807.1,619.0,89.8,98.8,380,2.6,67.0
RIOMAR,VILLA CAROLINA,3,1,2,Apartamento,Medio,Actividad Residencial,Bajo,19.0,137.0,331.0,461.4,594.0,7.8,98.8,285,2.5,72.0
RIOMAR,VILLA CAROLINA,3,0,2,Apartamento,Medio,Actividad Residencial,Bajo,126.0,248.0,231.8,395.3,540.0,24.4,98.8,340,2.5,78.0
